Company Name ,Symbol,Price,Market Cap,sustainability index,profitability index
Goldman Sachs Group Inc.,GS,343.91,114720715061.0,99.84233117881767,88.04461719604848
Suncor Energy Inc.,SU,27.07,39442471866.0,88.65155026535132,92.34397563257374
Schneider Electric,SU,27.07,39442471866.0,99.7513935967036,92.34397563257374
TD Bank Group,TD,79.69,145408161566.0,99.94252115495115,91.64676802392931
Telenor Group,TEL,150.90,49194696835.0,99.38609503068417,89.601054882959
Eli Lilly & Co.,LLY,243.06,232509347043.0,99.14276142460434,93.7856769126795
Eaton Corporation,ETN,160.54,63991244000.0,99.5965333536126,93.15376769105241
Baxter International Inc.,BAX,86.28,43199830089.0,99.57079002400194,94.29509739244476
Exxon Mobil Corporation,XOM,72.17,305536518771.0,20.49250070336464,92.35771260863356
Allstate Corporation,ALL,119.41,34231986056.0,99.89688545048817,93.77227003031427
Deutsche Telekom AG,DTE,118.46,22948933352.0,98.01473230915299,94.02542403359912
Target Corporation,TGT,217.25,104089671186.0,98.3580603875727,87.70775319513452
"Automatic Data Processing, Inc.",ADP,217.13,91495117039.0,99.90701298265878,89.46595853688306
MasterCard Incorporated,MA,355.08,348886479817.0,99.97876080550407,81.60934476572312
Bank of Montreal,BMO,114.01,73908053624.0,99.94230952617893,90.5569581896513
"Cisco Systems, Inc.",CSCO,56.68,239053939537.0,99.6230717682891,91.95934573392742
Goldcorp Inc.,G,49.83,9371046144.0,99.2275283841973,92.59823234629052
Assicurazioni Generali Spa,G,49.83,9371046144.0,99.96520760031525,92.59823234629052
Airbus Group,AIR,39.83,1412725132.0,99.44923622106556,92.48335303995042
"Yum! Brands, Inc.",YUM,124.24,36418856717.0,98.62110883581207,94.76465348649285
Ford Motor Company,F,20.65,82522387037.0,97.20234216241467,92.54185904387299
Hewlett-Packard,HPQ,34.86,37743708407.0,98.972297909386,92.18434972781426
L'Oréal,OR,11.59,1929252195.0,99.89567485178863,93.6221748756579
Sysco Corporation,SYY,77.41,39684727512.0,99.38832508092015,93.01735703602237
Boeing Company,BA,205.44,120736928579.0,99.14384023523134,82.04856503763911
salesforce.com,CRM,218.63,215350550000.0,99.98370162203095,87.92444849091666
TransCanada Corporation,TRP,50.09,49138290000.0,93.23840635708055,92.62540611064001
Intel Corporation,INTC,52.04,211646680000.0,98.2987590223962,93.88509612566084
Morgan Stanley,MS,98.86,177395565772.0,99.81339766295878,92.53004881342328
Linde AG,LIN,316.12,162028801564.0,91.34220417154805,86.18016083036586
WPP Group,WPP,79.71,18337376529.0,99.9062151746989,92.30033957373159
CVS Caremark Corporation,CVS,101.56,134065157205.0,99.07740162014203,92.72360679826497
Canadian National Railway Company,CNR,14.20,1792308408.0,97.14564333938169,93.77319718450562
Walt Disney Company,DIS,137.38,250095798361.0,99.03907416333887,80.44489030823598
Orange,ORA,73.33,4106590068.0,99.20069099575291,91.12654177189914
LVMH,MC,54.00,3553727472.0,99.81175797972153,92.63738942868088
Simon Property Group,SPG,146.96,48293872194.0,99.71899170195606,93.2239343252695
Accenture,ACN,335.63,212118407024.0,99.87357693274689,84.13286302806297
The Chubb Corporation,CB,192.01,82706633173.0,99.99487423906271,92.34147432644308
Visa,V,205.93,447652461217.0,99.95936661134915,82.47633070568831
eBay Inc.,EBAY,59.54,37272265121.0,99.87013083802323,92.26755047833333
Johnson Controls,JCI,72.72,51219051764.0,98.73113717276688,93.91380553101864
Wesfarmers,WES,23.14,9450151033.0,97.11505053544832,93.06146531223318
Cognizant Technology Solutions Corp.,CTSH,84.26,44257711107.0,99.90059022014762,91.90211432896962
Deere & Company,DE,364.28,112269854169.0,99.1876281837845,90.10334639691355
"Altria Group, Inc.",MO,50.32,92437277523.0,99.71777456831077,93.87090915007717
Manulife Financial Corp.,MFC,20.06,38969307407.0,99.77805671992807,93.3192806193631
Devon Energy Corporation,DVN,46.12,31223240000.0,95.27157882714422,90.52992386872789
Carnival Corporation,CCL,19.99,23303595753.0,94.07740625831977,92.78894849244651
Occidental Petroleum Corporation,OXY,33.75,31521858109.0,89.18022628708465,92.25235121541958
BBVA,BBVA,6.31,41179428649.0,99.83489005392767,93.80171149602597
General Mills Inc.,GIS,69.03,41639358501.0,99.45838895716233,94.66664210901241
Allianz SE,ALV,98.74,8637601418.0,99.85935253417202,93.51889786895306
UnitedHealth Group Inc,UNH,461.17,434353540963.0,99.93952747452153,91.3156083665091
Compagnie Financière Richemont SA,CFR,131.72,8392540854.0,99.96626315742695,92.22252315920787
Verizon Communications Inc.,VZ,53.16,223152944990.0,96.81643396223517,93.54861039237167
Apache Corporation,APA,30.10,10934555196.0,93.42249523418033,92.32435671132725
Pfizer Inc.,PFE,52.79,296303227708.0,98.70845056402914,92.15038456782976
DNB ASA,DNB,20.10,8666900468.0,99.99275256001035,93.84292193047557
"Air Products & Chemicals, Inc.",APD,282.47,62619178909.0,86.20669581809611,87.62195168717935
Schlumberger Limited,SLB,36.36,50999720827.0,98.50341555207542,92.93096806003678
British Sky Broadcasting,BSY,38.51,10873136797.0,99.9457706567236,93.5909255121727
"Wal-Mart Stores, Inc.",WMT,140.19,388870021027.0,88.46343313877765,92.44378580909121
Hess Corporation,HES,87.69,27159951335.0,95.64754569209478,92.10575646458278
AstraZeneca,AZN,59.10,183139158603.0,99.65955637039174,92.40365861800952
MTN Group,MTN,279.16,11292359504.0,99.43599859929842,87.56935280866759
"Amgen, Inc.",AMGN,227.72,128266911203.0,99.77955594539809,92.2277794780973
Kellogg Company,K,66.61,22722189908.0,99.3432660854193,94.56691523177983
E.I. du Pont de Nemours and Company,DD,77.47,40137504640.0,91.7049481183594,91.52563718031715
Procter & Gamble Company,PG,162.62,393531914326.0,96.82774654691323,94.76351289992546
Firstrand Limited,FSR,12.02,3566574989.0,99.8546551933863,92.96723019251237
Spectra Energy Corp,SE,154.41,86120318404.0,95.10520564338437,73.84370961302766
Cummins Inc.,CMI,223.36,31947593569.0,99.65141927377974,89.21627841706966
American Express,AXP,158.74,122952981501.0,99.9105865088245,90.85154529956391
AFLAC Incorporated,AFL,60.86,40260607408.0,99.9887978286761,92.4436023531725
Biogen Idec Inc.,BIIB,220.52,32392780850.0,99.95423068857123,86.46395211314409
"Merck & Co., Inc.",MRK,79.98,202024996001.0,98.92274123747512,92.80922301644756
Citigroup Inc.,C,63.27,125544588212.0,99.44049567122596,92.23841089317995
International Business Machines (IBM),IBM,129.35,94631603315.0,98.5033921351865,91.83470559935778
SAP AG,SAP,135.80,160186874372.0,99.89900658496171,92.1939937536596
"PPG Industries, Inc.",PPG,154.74,36735407993.0,96.80814170967378,87.10669644869785
HCP Inc.,HCP,58.93,10541850393.0,99.86713510997728,88.55464270652149
"TJX Companies, Inc.",TJX,67.46,80471576459.0,99.59255193791655,94.0686652495989
Telstra Corporation,TLS,12.72,849126526.0,99.22323764773593,93.3792276092217
Starbucks Corporation,SBUX,96.31,112990892000.0,99.43866649089942,94.72169179214087
Freeport-McMoRan Copper & Gold Inc.,FCX,40.99,60192729421.0,94.73774509948048,90.94211659087318
Lockheed Martin Corporation,LMT,371.20,102371926528.0,99.32872637571218,88.39791027048712
Infosys Limited,INFO,117.65,46923688122.0,99.91265243389806,93.46367354651095
"PNC Financial Services Group, Inc.",PNC,200.96,84403200000.0,99.75811424382503,85.74764223631148
QUALCOMM Inc.,QCOM,164.93,184721600000.0,99.93892639021176,91.69158141694888
BNY Mellon,BK,57.18,45981011100.0,99.88205003448601,90.19871011261881
Texas Instruments Incorporated,TXN,175.64,162208114895.0,98.68544632969916,97.01377939027826
Vivendi SA,VIV,8.88,14891211846.0,99.76325887986397,93.82919800299128
Capital One Financial,COF,146.52,62362143938.0,99.88722625609604,88.72736014131532
SingTel,ST,58.73,9307111714.0,99.90068650168162,94.04075730891024
UPS,UPS,201.95,175523257193.0,93.1726168799354,93.40657707087746
"PepsiCo, Inc.",PEP,174.22,240885795729.0,96.85155880005581,94.28069768981348
Telefonica,TEF,4.44,25314595109.0,99.04240644109076,93.87111475330788
Corning Incorporated,GLW,35.06,29920500573.0,99.17702741262606,93.78677369835279
Ecolab Inc.,ECL,195.09,55906415923.0,99.70935592445286,70.54914418067831
General Motors Company,GM,53.28,77355116464.0,95.6519273732178,92.00207784388283
BCE Inc.,BCE,51.96,47221248000.0,99.84523541762317,93.1181858478256
Exelon Corporation,EXC,56.77,55539100768.0,82.72128631625796,93.58977208862832
"The Travelers Companies, Inc.",TRV,162.61,40003472593.0,99.9553672245523,90.31660413363723
Royal Bank of Canada,RY,114.87,163651769268.0,99.91415186630802,92.16959263527903
Canadian Imperial Bank of Commerce (CIBC),CM,127.12,57326077785.0,99.95959860192316,90.88943892717835
Johnson & Johnson,JNJ,164.87,434036262279.0,99.3566311386285,93.35028720881053
Novartis,NOVN,3.11,58517424.0,99.10186627870164,93.66026952186841
Wells Fargo & Company,WFC,53.67,208550966344.0,99.22374301687366,92.05562334364998
Philip Morris International,PM,102.92,160228704826.0,99.52404065586799,95.16519058617531
Ventas Inc,VTR,52.48,20948750812.0,99.80617876979046,95.52749423101669
U.S. Bancorp,USB,55.10,81702152113.0,99.77842322146869,91.37532584250397
Rio Tinto,RIO,74.36,120414916639.0,76.42074471706515,91.40755991497855
Cenovus Energy Inc.,CVE,14.05,28348367737.0,96.87671888575862,92.98514955442873
